,VideoID,ChannelID,CategoryID,VideoTitle,ChannelTitle,CategoryName,ViewCount,LikeCount,DislikeCount,Duration
98,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
99,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
100,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
101,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
102,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
103,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
104,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
105,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
106,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
107,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
108,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
109,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
110,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
111,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
112,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
113,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
114,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
115,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
116,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
117,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
118,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
119,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
120,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
121,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
122,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
123,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
124,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
125,yRCUfumiqhk,UCyEEqjhf3NeujoC73yUZbKw,22,"FREE YOGA CLASS - Short, Sweet and Sweaty 💦 Power Vinyasa Flow (Full Class)",YouAligned,People & Blogs,2997922,49004,0,1277.0
126,Gv9_4yMHFhI,UCtYLUTtgS3k1Fg4y5tAhLbw,27,A Gentle Introduction to Machine Learning,StatQuest with Josh Starmer,Education,718977,11769,0,765.0
127,Gv9_4yMHFhI,UCtYLUTtgS3k1Fg4y5tAhLbw,27,A Gentle Introduction to Machine Learning,StatQuest with Josh Starmer,Education,718977,11769,0,765.0
128,FgakZw6K1QQ,UCtYLUTtgS3k1Fg4y5tAhLbw,27,"StatQuest: Principal Component Analysis (PCA), Step-by-Step",StatQuest with Josh Starmer,Education,2294128,47835,0,1318.0
129,FgakZw6K1QQ,UCtYLUTtgS3k1Fg4y5tAhLbw,27,"StatQuest: Principal Component Analysis (PCA), Step-by-Step",StatQuest with Josh Starmer,Education,2294128,47835,0,1318.0
130,FgakZw6K1QQ,UCtYLUTtgS3k1Fg4y5tAhLbw,27,"StatQuest: Principal Component Analysis (PCA), Step-by-Step",StatQuest with Josh Starmer,Education,2294128,47835,0,1318.0
131,FgakZw6K1QQ,UCtYLUTtgS3k1Fg4y5tAhLbw,27,"StatQuest: Principal Component Analysis (PCA), Step-by-Step",StatQuest with Josh Starmer,Education,2294128,47835,0,1318.0
132,FgakZw6K1QQ,UCtYLUTtgS3k1Fg4y5tAhLbw,27,"StatQuest: Principal Component Analysis (PCA), Step-by-Step",StatQuest with Josh Starmer,Education,2294128,47835,0,1318.0
133,FgakZw6K1QQ,UCtYLUTtgS3k1Fg4y5tAhLbw,27,"StatQuest: Principal Component Analysis (PCA), Step-by-Step",StatQuest with Josh Starmer,Education,2294128,47835,0,1318.0
